Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds,CheckM marker set,CheckM completeness,CheckM contamination
GCF_027689445.1,ASM2768944v1,Gemmiger qucibialis,2997294,,TM11-21A,,,GCF_027689445.1-RS_2024_12_13,,Scaffold,1/12/23,JAQFEN01,29,Clostridiales,99.12,0.88
GCF_027692125.1,ASM2769212v1,Gemmiger qucibialis,2997294,,OM07-16,,,GCF_027692125.1-RS_2025_02_22,,Scaffold,1/12/23,JAQFAA01,236,Clostridiales,79.74,1.75
GCF_009696075.1,ASM969607v1,Holdemanella porci,2652276,,LKV-472-APC-3,,,GCF_009696075.1-RS_2024_12_09,,Contig,11/22/19,VUMR01,133,Erysipelotrichaceae,96.92,0.1
GCF_019042175.1,ASM1904217v1,Holdemanella porci,2652276,,MSK.10.32,,,GCF_019042175.1-RS_2025_08_02,,Contig,6/27/21,JAHQCV01,207,Erysipelotrichaceae,96.94,0.69
GCF_019052615.1,ASM1905261v1,Holdemanella porci,2652276,,MSK.10.25,,,GCF_019052615.1-RS_2025_08_03,,Contig,6/28/21,JAHQVC01,205,Erysipelotrichaceae,96.94,1.69
GCF_019052655.1,ASM1905265v1,Holdemanella porci,2652276,,MSK.10.34,,,GCF_019052655.1-RS_2025_04_28,,Contig,6/28/21,JAHQVB01,201,Erysipelotrichaceae,96.94,0.69
GCF_020731225.1,ASM2073122v1,Holdemanella porci,2652276,,S001_GLD047,,,GCF_020731225.1-RS_2025_02_14,,Contig,11/2/21,JAJFPA01,205,Erysipelotrichaceae,96.94,1.73
GCF_027662285.1,ASM2766228v1,Holdemanella porci,2652276,,AM100_B1_15A,,,GCF_027662285.1-RS_2025_03_19,,Scaffold,1/11/23,JAQDJZ01,203,Erysipelotrichaceae,97.55,2.16
GCF_027667105.1,ASM2766710v1,Holdemanella porci,2652276,,AM66-19LNA,,,GCF_027667105.1-RS_2025_03_20,,Scaffold,1/11/23,JAQEGK01,120,Erysipelotrichaceae,96.62,1.97
GCF_027683005.1,ASM2768300v1,Holdemanella porci,2652276,,AF45-15BH,,,GCF_027683005.1-RS_2025_02_22,,Contig,1/12/23,JAQCYS01,275,Erysipelotrichaceae,90.84,0.12
GCF_052063655.1,ASM5206365v1,Holdemanella porci,2652276,,HCP3S3_F10,,,GCF_052063655.1-RS_2025_08_17,,Contig,8/16/25,JBQHXC01,169,Erysipelotrichaceae,96.94,0.12
GCF_052067655.1,ASM5206765v1,Holdemanella porci,2652276,,HCP3S3_E1,,,GCF_052067655.1-RS_2025_08_17,,Contig,8/16/25,JBQHQE01,169,Erysipelotrichaceae,96.94,0.12
GCF_052116685.1,ASM5211668v1,Holdemanella porci,2652276,,Sow4_A9,,,GCF_052116685.1-RS_2025_08_19,,Contig,8/18/25,JBQKKP01,111,Erysipelotrichaceae,96.94,0.73
GCF_052118665.1,ASM5211866v1,Holdemanella porci,2652276,,LCP21S3_B5,,,GCF_052118665.1-RS_2025_08_19,,Contig,8/18/25,JBQKGT01,165,Erysipelotrichaceae,96.94,0.1
GCF_052119005.1,ASM5211900v1,Holdemanella porci,2652276,,LCP19S3_H8,,,GCF_052119005.1-RS_2025_08_19,,Contig,8/18/25,JBQKGA01,165,Erysipelotrichaceae,96.94,0.12
GCF_052121355.1,ASM5212135v1,Holdemanella porci,2652276,,LCP19S3_D8,,,GCF_052121355.1-RS_2025_08_19,,Contig,8/18/25,JBQKEK01,125,Erysipelotrichaceae,96.94,0.24
GCF_052121535.1,ASM5212153v1,Holdemanella porci,2652276,,LCP19S3_D10,,,GCF_052121535.1-RS_2025_08_19,,Contig,8/18/25,JBQKEB01,154,Erysipelotrichaceae,96.94,0.12
GCF_052121935.1,ASM5212193v1,Holdemanella porci,2652276,,LCP19S3_A9,,,GCF_052121935.1-RS_2025_08_19,,Contig,8/18/25,JBQKDG01,171,Erysipelotrichaceae,96.94,0.12
GCF_000191545.1,ASM19154v1,Lactobacillus amylovorus,1604,,30SC,,,GCF_000191545.1-RS_2025_03_03,3,Complete Genome,3/7/11,,3,Lactobacillus amylovorus,90.55,3.91
GCF_004307475.1,ASM430747v1,Lactobacillus amylovorus,1604,,PMRA1,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),,Contig,2/27/19,PNRB01,32,Lactobacillus amylovorus,77.14,4.53
GCF_006384175.1,ASM638417v1,Lactobacillus amylovorus,1604,,PMRA3,,,GCF_006384175.1-RS_2025_09_02,2,Chromosome,6/20/19,,2,Lactobacillus amylovorus,92.11,5.08
GCF_020149995.1,ASM2014999v1,Lactobacillus amylovorus,1604,,MT30,,,GCF_020149995.1-RS_2025_12_07,1,Complete Genome,9/26/21,,1,Lactobacillus amylovorus,85.07,3.9
GCF_021398395.1,ASM2139839v1,Lactobacillus amylovorus,1604,,1394N20,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1,Complete Genome,1/10/22,,1,Lactobacillus amylovorus,83.12,5.24
GCF_022642685.1,ASM2264268v1,Lactobacillus amylovorus,1604,,L4,,,GCF_022642685.1-RS_2025_04_06,1,Chromosome,3/21/22,,1,Lactobacillus amylovorus,84.01,3.7
GCF_023523445.1,ASM2352344v1,Lactobacillus amylovorus,1604,,S1,,,GCF_023523445.1-RS_2025_05_27,3,Complete Genome,5/23/22,,3,Lactobacillus amylovorus,92.09,4.13
GCF_025194565.1,ASM2519456v1,Lactobacillus amylovorus,1604,,CIRM-BIA 2076,,,GCF_025194565.1-RS_2025_09_25,,Contig,9/13/22,RIUA01,167,Lactobacillus amylovorus,83.58,2.31
GCF_025194575.1,ASM2519457v1,Lactobacillus amylovorus,1604,,CIRM-BIA 2077,,,GCF_025194575.1-RS_2025_09_25,,Contig,9/13/22,RIUB01,141,Lactobacillus amylovorus,90.18,5.99
GCF_025194605.1,ASM2519460v1,Lactobacillus amylovorus,1604,,CIRM-BIA 2078,,,GCF_025194605.1-RS_2025_09_25,,Contig,9/13/22,RIUC01,68,Lactobacillus amylovorus,87.49,1.81
GCF_025194615.1,ASM2519461v1,Lactobacillus amylovorus,1604,,CIRM-BIA 669,,,GCF_025194615.1-RS_2025_09_25,,Contig,9/13/22,RIUD01,155,Lactobacillus amylovorus,83.5,2.29
GCF_025449355.1,ASM2544935v1,Lactobacillus amylovorus,1604,,CACC736,,,GCF_025449355.1-RS_2025_12_06,3,Complete Genome,9/28/22,,3,Lactobacillus amylovorus,90.51,2.35
GCF_026184355.1,ASM2618435v1,Lactobacillus amylovorus,1604,,CICC 6090,,,GCF_026184355.1-RS_2024_12_22,1,Complete Genome,11/15/22,,1,Lactobacillus amylovorus,90.57,4.35
GCF_027691405.1,ASM2769140v1,Lactobacillus amylovorus,1604,,OM16-18A,,,GCF_027691405.1-RS_2025_02_22,,Scaffold,1/12/23,JAQFAW01,75,Lactobacillus amylovorus,90.35,4.59
GCF_027697865.1,ASM2769786v1,Lactobacillus amylovorus,1604,,AM96-01M3TA,,,GCF_027697865.1-RS_2025_02_22,,Scaffold,1/12/23,JAQERS01,105,Lactobacillus amylovorus,89.7,5.2
GCF_027977705.1,ASM2797770v1,Lactobacillus amylovorus,1604,,M597AA,,,GCF_027977705.1-RS_2025_04_03,,Contig,1/25/23,JAOTHC01,126,Lactobacillus amylovorus,85.34,4.27
GCF_028308325.1,ASM2830832v1,Lactobacillus amylovorus,1604,,M1020A,,,GCF_028308325.1-RS_2025_02_26,,Contig,1/30/23,JAOTHR01,76,Lactobacillus amylovorus,90.4,2.75
GCF_028308365.1,ASM2830836v1,Lactobacillus amylovorus,1604,,M971A,,,GCF_028308365.1-RS_2025_02_26,,Contig,1/30/23,JAOTHP01,95,Lactobacillus amylovorus,92.04,5.86
GCF_028308375.1,ASM2830837v1,Lactobacillus amylovorus,1604,,M980A,,,GCF_028308375.1-RS_2025_02_26,,Contig,1/30/23,JAOTHQ01,118,Lactobacillus amylovorus,90.31,3.88
GCF_028308525.1,ASM2830852v1,Lactobacillus amylovorus,1604,,M838B,,,GCF_028308525.1-RS_2025_02_26,,Contig,1/30/23,JAOTHO01,59,Lactobacillus amylovorus,88.9,2.61
GCF_028308535.1,ASM2830853v1,Lactobacillus amylovorus,1604,,M834A,,,GCF_028308535.1-RS_2025_02_26,,Contig,1/30/23,JAOTHN01,128,Lactobacillus amylovorus,90.78,6.6
GCF_028308545.1,ASM2830854v1,Lactobacillus amylovorus,1604,,M739A,,,GCF_028308545.1-RS_2025_02_26,,Contig,1/30/23,JAOTHM01,87,Lactobacillus amylovorus,90.32,4.93
GCF_028308585.1,ASM2830858v1,Lactobacillus amylovorus,1604,,M738A,,,GCF_028308585.1-RS_2025_02_26,,Contig,1/30/23,JAOTHL01,70,Lactobacillus amylovorus,88.6,1.49
GCF_028308685.1,ASM2830868v1,Lactobacillus amylovorus,1604,,M737A,,,GCF_028308685.1-RS_2025_02_26,,Contig,1/30/23,JAOTHK01,128,Lactobacillus amylovorus,87.05,4.27
GCF_028308695.1,ASM2830869v1,Lactobacillus amylovorus,1604,,M718A,,,GCF_028308695.1-RS_2025_02_26,,Contig,1/30/23,JAOTHJ01,59,Lactobacillus amylovorus,87.88,2.91
GCF_028308725.1,ASM2830872v1,Lactobacillus amylovorus,1604,,M668A,,,GCF_028308725.1-RS_2025_02_26,,Contig,1/30/23,JAOTHF01,60,Lactobacillus amylovorus,86.56,4.12
GCF_028308735.1,ASM2830873v1,Lactobacillus amylovorus,1604,,M702A,,,GCF_028308735.1-RS_2025_02_26,,Contig,1/30/23,JAOTHI01,57,Lactobacillus amylovorus,88.05,3.51
GCF_028308755.1,ASM2830875v1,Lactobacillus amylovorus,1604,,M700A,,,GCF_028308755.1-RS_2025_02_26,,Contig,1/30/23,JAOTHH01,74,Lactobacillus amylovorus,87.28,7.16
GCF_028308825.1,ASM2830882v1,Lactobacillus amylovorus,1604,,M696A,,,GCF_028308825.1-RS_2025_02_26,,Contig,1/30/23,JAOTHG01,126,Lactobacillus amylovorus,83.97,2.41
GCF_028308865.1,ASM2830886v1,Lactobacillus amylovorus,1604,,M624A,,,GCF_028308865.1-RS_2025_02_26,,Contig,1/30/23,JAOTHE01,112,Lactobacillus amylovorus,85.39,2.26
GCF_028308885.1,ASM2830888v1,Lactobacillus amylovorus,1604,,M597B,,,GCF_028308885.1-RS_2025_02_26,,Contig,1/30/23,JAOTHD01,122,Lactobacillus amylovorus,85.34,4.27
GCF_028308895.1,ASM2830889v1,Lactobacillus amylovorus,1604,,M583A,,,GCF_028308895.1-RS_2025_02_26,,Contig,1/30/23,JAOTHB01,64,Lactobacillus amylovorus,85.07,4.33
GCF_028308925.1,ASM2830892v1,Lactobacillus amylovorus,1604,,M581A,,,GCF_028308925.1-RS_2025_02_26,,Contig,1/30/23,JAOTHA01,75,Lactobacillus amylovorus,89.24,1.53
GCF_028308945.1,ASM2830894v1,Lactobacillus amylovorus,1604,,M492A,,,GCF_028308945.1-RS_2025_02_26,,Contig,1/30/23,JAOTGZ01,56,Lactobacillus amylovorus,87.78,1.5
GCF_028308955.1,ASM2830895v1,Lactobacillus amylovorus,1604,,M490A,,,GCF_028308955.1-RS_2025_02_26,,Contig,1/30/23,JAOTGY01,82,Lactobacillus amylovorus,90.33,2.38
GCF_028308985.1,ASM2830898v1,Lactobacillus amylovorus,1604,,M374A,,,GCF_028308985.1-RS_2025_02_26,,Contig,1/30/23,JAOTGV01,49,Lactobacillus amylovorus,87.87,1.9
GCF_028308995.1,ASM2830899v1,Lactobacillus amylovorus,1604,,M388A,,,GCF_028308995.1-RS_2025_02_26,,Contig,1/30/23,JAOTGW01,53,Lactobacillus amylovorus,88.32,3.85
GCF_028309025.1,ASM2830902v1,Lactobacillus amylovorus,1604,,M477A,,,GCF_028309025.1-RS_2025_02_26,,Contig,1/30/23,JAOTGX01,94,Lactobacillus amylovorus,88.41,2.62
GCF_028309045.1,ASM2830904v1,Lactobacillus amylovorus,1604,,355A,,,GCF_028309045.1-RS_2025_02_26,,Contig,1/30/23,JAOTGS01,80,Lactobacillus amylovorus,85.19,3.26
GCF_028309055.1,ASM2830905v1,Lactobacillus amylovorus,1604,,M356A,,,GCF_028309055.1-RS_2025_02_26,,Contig,1/30/23,JAOTGU01,62,Lactobacillus amylovorus,88.3,3.07
GCF_028309085.1,ASM2830908v1,Lactobacillus amylovorus,1604,,374A,,,GCF_028309085.1-RS_2025_02_26,,Contig,1/30/23,JAOTGT01,59,Lactobacillus amylovorus,88.3,5.36
GCF_028309095.1,ASM2830909v1,Lactobacillus amylovorus,1604,,350A,,,GCF_028309095.1-RS_2025_02_26,,Contig,1/30/23,JAOTGQ01,50,Lactobacillus amylovorus,86.38,0.84
GCF_028309125.1,ASM2830912v1,Lactobacillus amylovorus,1604,,352A,,,GCF_028309125.1-RS_2025_02_26,,Contig,1/30/23,JAOTGR01,68,Lactobacillus amylovorus,90.33,3.59
GCF_029477185.1,ASM2947718v2,Lactobacillus amylovorus,1604,,KSAU,,,GCF_029477185.1-RS_2025_05_12,,Scaffold,4/23/24,JARPON02,334,Lactobacillus amylovorus,89.32,3.42
GCF_050312935.1,ASM5031293v1,Lactobacillus amylovorus,1604,,SGI.242,,,GCF_050312935.1-RS_2025_05_12,,Contig,5/11/25,JBNPKL01,176,Lactobacillus amylovorus,93.68,3.17
GCF_052063635.1,ASM5206363v1,Lactobacillus amylovorus,1604,,HCP3S3_F11,,,GCF_052063635.1-RS_2025_08_17,,Contig,8/16/25,JBQHXD01,127,Lactobacillus amylovorus,88.19,1.8
GCF_052063875.1,ASM5206387v1,Lactobacillus amylovorus,1604,,HCP3S3_D5,,,GCF_052063875.1-RS_2025_08_17,,Contig,8/16/25,JBQHWR01,92,Lactobacillus amylovorus,91.73,3.76
GCF_052064115.1,ASM5206411v1,Lactobacillus amylovorus,1604,,HCP3S3_C6,,,GCF_052064115.1-RS_2025_08_17,,Contig,8/16/25,JBQHWG01,126,Lactobacillus amylovorus,89.91,2.42
GCF_052064405.1,ASM5206440v1,Lactobacillus amylovorus,1604,,HCP3S3_B2,,,GCF_052064405.1-RS_2025_08_17,,Contig,8/16/25,JBQHVR01,138,Lactobacillus amylovorus,89.23,3.06
GCF_052064615.1,ASM5206461v1,Lactobacillus amylovorus,1604,,HCP3S3_A3,,,GCF_052064615.1-RS_2025_08_17,,Contig,8/16/25,JBQHVG01,128,Lactobacillus amylovorus,89.23,3.06
GCF_052064655.1,ASM5206465v1,Lactobacillus amylovorus,1604,,HCP3S3_A12,,,GCF_052064655.1-RS_2025_08_17,,Contig,8/16/25,JBQHVE01,160,Lactobacillus amylovorus,89.16,3.36
GCF_052065095.1,ASM5206509v1,Lactobacillus amylovorus,1604,,HCP28S3_G8,,,GCF_052065095.1-RS_2025_08_17,,Contig,8/16/25,JBQHUR01,156,Lactobacillus amylovorus,89.91,4.13
GCF_052065275.1,ASM5206527v1,Lactobacillus amylovorus,1604,,HCP28S3_F8,,,GCF_052065275.1-RS_2025_08_17,,Contig,8/16/25,JBQHUI01,111,Lactobacillus amylovorus,88.02,1.8
