Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds,CheckM marker set,CheckM completeness,CheckM contamination
GCF_052065875.1,ASM5206587v1,Lactobacillus amylovorus,1604,,HCP28S3_C9,,,GCF_052065875.1-RS_2025_08_17,,Contig,8/16/25,JBQHTE01,144,Lactobacillus amylovorus,89.01,2.49
GCF_052066295.1,ASM5206629v1,Lactobacillus amylovorus,1604,,HCP28S3_A9,,,GCF_052066295.1-RS_2025_08_17,,Contig,8/16/25,JBQHSI01,123,Lactobacillus amylovorus,88.19,1.78
GCF_052066335.1,ASM5206633v1,Lactobacillus amylovorus,1604,,HCP28S3_A8,,,GCF_052066335.1-RS_2025_08_17,,Contig,8/16/25,JBQHSH01,175,Lactobacillus amylovorus,89,3.38
GCF_052116565.1,ASM5211656v1,Lactobacillus amylovorus,1604,,Sow4_C2,,,GCF_052116565.1-RS_2025_08_19,,Contig,8/18/25,JBQKKV01,72,Lactobacillus amylovorus,85.97,2.59
GCF_052116605.1,ASM5211660v1,Lactobacillus amylovorus,1604,,Sow4_C10,,,GCF_052116605.1-RS_2025_08_19,,Contig,8/18/25,JBQKKU01,103,Lactobacillus amylovorus,86.68,2.63
GCF_052117645.1,ASM5211764v1,Lactobacillus amylovorus,1604,,LCP21S3_G8,,,GCF_052117645.1-RS_2025_08_19,,Contig,8/18/25,JBQKIU01,121,Lactobacillus amylovorus,88.99,4
GCF_052118265.1,ASM5211826v1,Lactobacillus amylovorus,1604,,LCP21S3_D6,,,GCF_052118265.1-RS_2025_08_19,,Contig,8/18/25,JBQKHN01,123,Lactobacillus amylovorus,89.2,3.93
GCF_052118505.1,ASM5211850v1,Lactobacillus amylovorus,1604,,LCP21S3_C6,,,GCF_052118505.1-RS_2025_08_19,,Contig,8/18/25,JBQKHB01,54,Lactobacillus amylovorus,88.3,2.7
GCF_052118685.1,ASM5211868v1,Lactobacillus amylovorus,1604,,LCP21S3_B4,,,GCF_052118685.1-RS_2025_08_19,,Contig,8/18/25,JBQKGS01,74,Lactobacillus amylovorus,91.61,4.26
GCF_052118725.1,ASM5211872v1,Lactobacillus amylovorus,1604,,LCP21S3_B12,,,GCF_052118725.1-RS_2025_08_19,,Contig,8/18/25,JBQKGP01,69,Lactobacillus amylovorus,87.67,2.45
GCF_052118745.1,ASM5211874v1,Lactobacillus amylovorus,1604,,LCP21S3_B3,,,GCF_052118745.1-RS_2025_08_19,,Contig,8/18/25,JBQKGR01,69,Lactobacillus amylovorus,86.13,4.26
GCF_052118765.1,ASM5211876v1,Lactobacillus amylovorus,1604,,LCP21S3_B1,,,GCF_052118765.1-RS_2025_08_19,,Contig,8/18/25,JBQKGO01,128,Lactobacillus amylovorus,89.23,3.06
GCF_052119245.1,ASM5211924v1,Lactobacillus amylovorus,1604,,LCP19S3_G9,,,GCF_052119245.1-RS_2025_08_19,,Contig,8/18/25,JBQKFR01,42,Lactobacillus amylovorus,88.45,2.25
GCF_052121055.1,ASM5212105v1,Lactobacillus amylovorus,1604,,LCP19S3_F12,,,GCF_052121055.1-RS_2025_08_19,,Contig,8/18/25,JBQKEZ01,76,Lactobacillus amylovorus,87.67,2.45
GCF_052121275.1,ASM5212127v1,Lactobacillus amylovorus,1604,,LCP19S3_E12,,,GCF_052121275.1-RS_2025_08_19,,Contig,8/18/25,JBQKEO01,53,Lactobacillus amylovorus,86.51,0.75
GCF_052121335.1,ASM5212133v1,Lactobacillus amylovorus,1604,,LCP19S3_D9,,,GCF_052121335.1-RS_2025_08_19,,Contig,8/18/25,JBQKEL01,75,Lactobacillus amylovorus,89.13,2.05
GCF_052121595.1,ASM5212159v1,Lactobacillus amylovorus,1604,,LCP19S3_C7,,,GCF_052121595.1-RS_2025_08_19,,Contig,8/18/25,JBQKDY01,74,Lactobacillus amylovorus,87.67,2.55
GCF_052121975.1,ASM5212197v1,Lactobacillus amylovorus,1604,,LCP19S3_A8,,,GCF_052121975.1-RS_2025_08_19,,Contig,8/18/25,JBQKDF01,92,Lactobacillus amylovorus,87.47,3.66
GCF_053547575.1,ASM5354757v1,Lactobacillus amylovorus,1604,,11266D007DM,,,GCF_053547575.1-RS_2025_11_19,,Contig,11/18/25,JBPPWX01,111,Lactobacillus amylovorus,91.45,3.62
GCF_053547615.1,ASM5354761v1,Lactobacillus amylovorus,1604,,11266D007BM-1,,,GCF_053547615.1-RS_2025_11_19,,Contig,11/18/25,JBPWPH01,3,Lactobacillus amylovorus,89.74,2.95
GCF_053547635.1,ASM5354763v1,Lactobacillus amylovorus,1604,,11266D007AW,,,GCF_053547635.1-RS_2025_11_19,,Contig,11/18/25,JBPPWZ01,109,Lactobacillus amylovorus,89.74,2.95
GCF_902363955.1,MGYG-HGUT-00161,Lactobacillus amylovorus,1604,,,MGYG-HGUT-00161,,GCF_902363955.1-RS_2025_12_05,,Scaffold,8/22/19,CABJBR01,134,Lactobacillus amylovorus,91.25,5.76
GCF_001433985.1,ASM143398v1,Lactobacillus amylovorus DSM 20531,1423723,,DSM 20531,,,GCF_001433985.1-RS_2025_04_03,,Scaffold,11/6/15,AZCM01,116,Lactobacillus amylovorus,83.5,2.31
GCF_002706375.1,ASM270637v1,Lactobacillus amylovorus DSM 20531,1423723,,DSM 20531,,,GCF_002706375.1-RS_2025_03_05,1,Complete Genome,10/25/17,,1,Lactobacillus amylovorus,83.5,3.91
GCF_000182855.2,ASM18285v1,Lactobacillus amylovorus GRL 1112,695560,,GRL 1112,,,GCF_000182855.2-RS_2025_04_08,3,Chromosome,3/29/11,,3,Lactobacillus amylovorus,94.9,0.03
GCF_000194115.1,ASM19411v1,Lactobacillus amylovorus GRL1118,695562,,GRL1118,,,GCF_000194115.1-RS_2025_04_08,3,Complete Genome,3/29/11,,3,Lactobacillus amylovorus,96.66,0.36
GCF_036245415.1,ASM3624541v1,Lactobacillus amylovorus subsp. amylovorus,3378537,,YK3,,,GCF_036245415.1-RS_2025_01_19,,Contig,9/8/23,BTFS01,55,Lactobacillus amylovorus,80.74,1.75
GCF_036245435.1,ASM3624543v1,Lactobacillus amylovorus subsp. amylovorus,3378537,,YK6,,,GCF_036245435.1-RS_2025_01_19,,Contig,9/8/23,BTFT01,32,Lactobacillus amylovorus,84.05,2.12
GCF_036245455.1,ASM3624545v1,Lactobacillus amylovorus subsp. amylovorus,3378537,,YK10,,,GCF_036245455.1-RS_2025_01_19,,Contig,9/8/23,BTFU01,72,Lactobacillus amylovorus,83.28,1.43
GCF_040364785.1,ASM4036478v1,Lactobacillus amylovorus subsp. amylovorus,3378537,,NSK,,,GCF_040364785.1-RS_2025_01_19,,Contig,3/26/24,BAAAAG01,72,Lactobacillus amylovorus,81.57,4.23
GCF_003465905.1,ASM346590v1,Lactobacillus amylovorus subsp. animalium,3378536,,AF08-3,,,GCF_003465905.1-RS_2025_09_17,,Scaffold,9/6/18,QSAX01,134,Lactobacillus amylovorus,91.25,5.76
GCF_005049155.1,ASM504915v1,Lactobacillus amylovorus subsp. animalium,3378536,,S60,,,GCF_005049155.1-RS_2025_05_16,,Contig,5/1/19,SUMN01,74,Lactobacillus amylovorus,88.85,7.07
GCF_012843555.1,ASM1284355v1,Lactobacillus amylovorus subsp. animalium,3378536,,Bifido-178-WT-3C,,,GCF_012843555.1-RS_2025_04_02,,Contig,4/25/20,JABAFJ01,110,Lactobacillus amylovorus,89.46,4.45
GCF_036245375.1,ASM3624537v1,Lactobacillus amylovorus subsp. animalium,3378536,,BF186,,,GCF_036245375.1-RS_2025_01_19,,Contig,9/8/23,BTFQ01,77,Lactobacillus amylovorus,89.03,1.95
GCF_036245395.1,ASM3624539v1,Lactobacillus amylovorus subsp. animalium,3378536,,BF125,,,GCF_036245395.1-RS_2025_01_19,,Contig,9/8/23,BTFR01,33,Lactobacillus amylovorus,89.03,1.95
GCF_040365475.1,ASM4036547v1,Lactobacillus amylovorus subsp. animalium,3378536,,TKL145,,,GCF_040365475.1-RS_2025_01_19,,Contig,3/26/24,BAAAAK01,72,Lactobacillus amylovorus,89.34,1.81
GCF_001437365.1,ASM143736v1,Lactobacillus amylovorus subsp. animalium DSM 16698,695563,,DSM 16698,,,GCF_001437365.1-RS_2025_04_02,,Scaffold,11/6/15,JQBQ01,162,Lactobacillus amylovorus,88.38,3.68
GCF_009695905.1,ASM969590v1,Mogibacterium kristiansenii,2606708,,WCA-MUC-591-APC-4B,,,GCF_009695905.1-RS_2025_02_27,,Contig,11/22/19,VUNA01,43,Clostridia,97.95,
GCF_023497905.1,ASM2349790v1,Phascolarctobacterium succinatutens,626940,,NB2A-12-FMU,,,GCF_023497905.1-RS_2025_03_14,1,Chromosome,5/18/22,,1,Acidaminococcaceae,99.61,1.75
GCF_050313715.1,ASM5031371v1,Phascolarctobacterium succinatutens,626940,,SGI.159,,,GCF_050313715.1-RS_2025_05_12,,Contig,5/11/25,JBNPLY01,76,Acidaminococcaceae,99.61,2.15
GCF_902374385.1,MGYG-HGUT-01365,Phascolarctobacterium succinatutens,626940,,,MGYG-HGUT-01365,,GCF_902374385.1-RS_2025_04_27,,Scaffold,8/22/19,CABKPS01,96,Acidaminococcaceae,100,1.03
GCF_000188175.1,ASM18817v1,Phascolarctobacterium succinatutens YIT 12067,626939,,YIT 12067,,,GCF_000188175.1-RS_2025_01_21,,Scaffold,2/8/11,AEVN01,96,Acidaminococcaceae,100,1.03
GCF_001405535.1,13414_6#71,Roseburia inulinivorans,360807,,2789STDY5608887,,,GCF_001405535.1-RS_2025_02_27,,Scaffold,10/2/15,CYXX01,93,Roseburia,90.32,4.75
GCF_001406675.1,13414_6#19,Roseburia inulinivorans,360807,,2789STDY5608835,,,GCF_001406675.1-RS_2025_03_21,,Scaffold,10/2/15,CYYR01,60,Roseburia,90.35,4.28
GCF_001406855.1,RIL183,Roseburia inulinivorans,360807,,L1-83,,,GCF_001406855.1-RS_2025_02_27,,Contig,10/8/15,CVRS01,151,Roseburia,92.03,9.27
GCF_003457795.1,ASM345779v1,Roseburia inulinivorans,360807,,AF28-15,,,GCF_003457795.1-RS_2025_02_27,,Scaffold,9/5/18,QRTF01,110,Roseburia,91.34,5.94
GCF_003458535.1,ASM345853v1,Roseburia inulinivorans,360807,,AF24-4,,,GCF_003458535.1-RS_2025_02_27,,Scaffold,9/5/18,QRUN01,92,Roseburia,89.89,3.33
GCF_003458815.1,ASM345881v1,Roseburia inulinivorans,360807,,AF21-31,,,GCF_003458815.1-RS_2025_03_21,,Scaffold,9/5/18,QRVS01,177,Roseburia,85.23,5.38
GCF_003467265.1,ASM346726v1,Roseburia inulinivorans,360807,,AM42-1AC,,,GCF_003467265.1-RS_2025_02_27,,Scaffold,9/6/18,QSFX01,111,Roseburia,90.96,5.81
GCF_003468625.1,ASM346862v1,Roseburia inulinivorans,360807,,AM32-8LB,,,GCF_003468625.1-RS_2025_02_27,,Scaffold,9/6/18,QSIQ01,95,Roseburia,92.58,7.93
GCF_003470035.1,ASM347003v1,Roseburia inulinivorans,360807,,AM27-11,,,GCF_003470035.1-RS_2025_02_27,,Scaffold,9/6/18,QSKW01,100,Roseburia,92.09,7.57
GCF_003470885.1,ASM347088v1,Roseburia inulinivorans,360807,,AM23-23AC,,,GCF_003470885.1-RS_2025_03_21,,Scaffold,9/6/18,QRHP01,79,Roseburia,92.31,4.23
GCF_018784035.1,ASM1878403v1,Roseburia inulinivorans,360807,,MCC698,,,GCF_018784035.1-RS_2025_03_21,,Scaffold,6/8/21,WQNS01,312,Roseburia,90.53,4.93
GCF_040095095.1,ASM4009509v1,Roseburia inulinivorans,360807,,CLA-AA-H186,,,GCF_040095095.1-RS_2025_06_13,,Contig,6/7/24,JBBNGM01,148,Roseburia,91.97,7.41
GCF_040095515.1,ASM4009551v1,Roseburia inulinivorans,360807,,CLA-AA-H149,,,GCF_040095515.1-RS_2025_06_12,,Contig,6/7/24,JBBNFR01,188,Roseburia,90.76,8.15
GCF_902364955.1,MGYG-HGUT-00271,Roseburia inulinivorans,360807,,,MGYG-HGUT-00271,,GCF_902364955.1-RS_2025_02_27,,Scaffold,8/22/19,CABJFX01,111,Roseburia,90.96,5.81
GCF_000174195.1,ASM17419v1,Roseburia inulinivorans DSM 16841,622312,,DSM 16841,,,GCF_000174195.1-RS_2025_08_05,,Contig,3/12/09,ACFY01,179,Roseburia,94.09,1.04
GCF_020731525.1,ASM2073152v1,Roseburia inulinivorans DSM 16841,622312,,FDAARGOS_1587,,,GCF_020731525.1-RS_2024_12_13,,Contig,11/2/21,JAJFOJ01,2,Roseburia,98.11,2.41
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,