SRA	bioproject	(Possible) reason 
ERR1135207	PRJEB11755	Vietnamese minipig, unusual breed
ERR1135208	PRJEB11755	Vietnamese minipig
ERR1135253	PRJEB11755	MeLiM pig
ERR1135268	PRJEB11755	MeLiM pig
ERR1135395	PRJEB11755	Bama (minipig)
ERR3211747	PRJEB31650	spiked with mock community
ERR3211821	PRJEB31650	spiked with mock community
ERR3211822	PRJEB31650	spiked with mock community
ERR3211989	PRJEB31650	spiked with mock community
ERR3211990	PRJEB31650	spiked with mock community
ERR3212025	PRJEB31650	spiked with mock community
ERR3212035	PRJEB31650	spiked with mock community
ERR3212036	PRJEB31650	spiked with mock community
SRR11124831	PRJNA526405	None, low seq depth but so are others
SRR11124940	PRJNA526405	None, low seq depth but so are others
SRR11126113	PRJNA526405	Same pig as SRR11124831
SRR11183712	PRJNA526405	None, low seq depth but so are others
SRR11489751	PRJNA408025	ileum sample
SRR11489765	PRJNA408025	ileum sample
SRR11489775	PRJNA408025	ileum sample
SRR12795729	SRR12795729	premature piglet (~ 90% gestation), fecal transplant control (saline)
SRR12795740	SRR12795729	premature piglet (~ 90% gestation), fecal transplant control (saline)
SRR12795741	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795744	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795745	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795746	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795773	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795774	SRR12795729	premature piglet (~ 90% gestation), fecal transplant control (saline)
SRR12795782	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795783	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795784	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR12795785	SRR12795729	premature piglet (~ 90% gestation), fecal transplant control (saline)
SRR12795789	SRR12795729	premature piglet (~ 90% gestation), fecal transplant from donor
SRR15057923	PRJNA741980	none, study involving viromes
SRR7182025	PRJNA471402	none
SRR7182040	PRJNA471402	none
SRR7182060	PRJNA471402	none